,reward,steps,found
724,181404.2320116569,20,True
725,189855.3523912416,13,True
726,180292.715189184,21,True
727,190523.4259077576,12,True
728,191959.65961428272,10,True
729,-105889.14395612667,73,False
730,-199966.0,9,False
731,185560.30706546755,17,True
732,191584.7448989621,10,True
733,178221.8744298187,23,True
734,187035.97208964205,16,True
735,191544.95514000213,10,True
736,-198213.05387563712,14,False
737,190557.9632890037,12,True
738,182062.410202796,20,True
739,191052.24596031115,11,True
740,180257.93356289703,21,True
741,186107.89772993416,17,True
742,190990.32929328745,11,True
743,191231.08311094347,11,True
744,178805.99110816975,22,True
745,190738.9006332461,12,True
746,-197579.93326842305,14,False
747,168420.38532615142,29,True
748,185111.99717817653,17,True
749,170676.1866466151,27,True
750,160302.37733599302,35,True
751,189742.29483903808,14,True
752,181896.45876212863,19,True
753,186013.75953221697,17,True
754,184517.92445986604,17,True
755,191372.8581909334,11,True
756,189537.92340028824,14,True
757,191374.12495636076,10,True
758,-203455.73315185733,28,False
759,-222760.6917906513,84,False
760,186986.60696821255,16,True
761,191759.04628257005,10,True
762,-203625.58878664745,33,False
763,190217.793206139,13,True
764,190823.0954499512,12,True
765,191274.0395148788,11,True
766,191050.2907852677,11,True
767,189188.94691222,14,True
768,191789.78130848723,10,True
769,189849.6096880684,13,True
770,-203319.2422786441,29,False
771,190650.6317307939,12,True
772,191174.04904507412,11,True
773,191434.77485795712,11,True
774,191544.95514000213,10,True
775,191021.06431920463,11,True
776,190656.7104804397,12,True
777,184627.0712185232,18,True
778,190615.5687936248,12,True
779,190742.3565822064,12,True
780,174453.30819777842,25,True
781,191759.04628257005,10,True
782,139083.03506119954,51,True
783,169136.02608485392,29,True
784,176885.73472929074,23,True
785,183516.6626783857,18,True
786,-205820.16393105223,35,False
787,176460.40861501897,24,True
788,188463.29199474203,15,True
789,187531.688856184,16,True
790,174550.20683074152,25,True
791,-202286.35457906872,26,False
792,-203579.28313383105,29,False
793,179498.43115294204,22,True
794,191541.48394003557,10,True
795,177182.28432503127,23,True
796,174340.828706438,25,True
797,189414.01412259808,14,True
798,185581.4793257868,17,True
799,177739.86851339202,23,True
800,188079.7577213559,15,True
801,191148.10457964425,11,True
802,163511.7091193648,33,True
803,190913.55834300505,12,True
804,190857.91280238205,12,True
805,171890.36982871642,27,True
806,180813.8523554477,20,True
807,172010.40527127864,27,True
808,183491.8670274685,18,True
809,191935.3173814737,10,True
810,190951.79992291864,11,True
811,190607.4290961936,12,True
812,189965.44014737988,13,True
813,177348.09858956895,23,True
814,183667.49247725244,18,True
815,190091.49129574583,13,True
816,181452.37170659247,20,True
817,186027.81186869252,17,True
818,187659.0387294029,15,True
819,185457.0370733529,17,True
820,190075.0639337217,13,True
821,191196.73430379227,11,True
